class,FID,COV,MMS,Density,APD
0,594.087646484375,0.7222222222222222,13.066774686177572,0.2,14.28877067565918
1,165.33929061889648,0.8333333333333334,9.098511735598246,0.3333333333333333,
2,562.0363082885742,0.5277777777777778,7.239991572168138,0.1722222222222222,
3,123.25284194946288,0.8888888888888888,9.336152831713358,0.3611111111111111,4.444881916046143
4,240.51492309570312,0.6944444444444444,9.527553545104134,0.2,
