class,FID,COV,MMS,Density
0,62.81001663208008,1.0,10.9398010969162,1.04
1,21.27533984184265,1.0,9.394849048720468,0.9142857142857144
2,34.845247745513916,1.0,7.993487868044111,1.102857142857143
3,5.35453987121582,1.0,9.80669621626536,0.982857142857143
4,54.0777223110199,1.0,10.168388760752148,0.9657142857142856
