ON,FID,COV,MMS,Density,APD
trainVSnoise,-0.00028435331341825076,1.0,5.0136527912957325,1.0971428571428572,0.0
trainVSgen,244.28016084432602,0.8,4.867272124971662,0.4342857142857143,4.6965566
