ON,FID,COV,MMS,Density,APD
trainVSnoise,-0.0027508449711604044,1.0,12.228776284838592,1.0457142857142858,0.0
trainVSgen,1757.2975463867188,0.8,11.920207816455513,0.8628571428571429,82.20363
