ON,FID,COV,MMS,Density,APD
trainVSnoise,-831.999999808733,1.0,2.243943487746375,1.0971428571428572,8.859147
trainVSgen,96.03019714355469,0.9142857142857143,1.7260939904621668,0.5371428571428571,6.5161066
